Experience,Grade,EnglishLevel,Age,EntryTestScore,Accepted
3,8.2,1,25,823,0
4,11.6,1,26,574,0
2,11.8,3,23,912,1
4,7.7,2,28,343,0
4,7.8,2,24,316,0
1,8.9,3,18,629,0
2,8.7,1,22,868,0
2,12.0,3,22,796,1
2,7.1,2,27,311,0
4,6.1,1,21,617,0
3,9.0,2,23,891,0
2,7.1,3,24,515,0
5,8.2,2,26,638,0
4,10.5,3,18,960,1
1,10.3,2,23,380,0
3,7.8,3,24,784,0
5,9.3,2,20,673,1
5,9.1,3,25,499,0
1,9.8,2,22,836,0
3,7.5,1,26,765,0
4,9.5,1,22,388,0
0,11.9,1,26,567,0
3,8.9,1,27,954,0
1,11.4,1,21,870,0
5,8.6,2,26,788,0
4,8.1,2,22,837,0
3,9.9,3,27,346,0
0,10.0,3,26,587,0
0,11.2,2,20,315,0
2,7.4,3,21,700,0
2,9.0,3,26,385,0
1,9.4,2,27,549,0
3,10.6,1,28,690,0
3,6.3,1,23,634,0
5,12.0,1,19,928,1
5,8.8,1,24,818,0
5,7.7,1,19,436,0
2,11.3,3,28,987,1
3,10.5,3,19,797,1
3,11.7,1,28,776,1
0,8.0,1,18,893,0
2,9.3,1,28,522,0
4,9.4,2,28,671,0
2,11.9,2,29,701,1
4,6.5,3,28,742,0
0,7.8,2,20,789,0
1,7.1,3,23,914,0
3,7.6,3,25,572,0
0,8.9,1,26,825,0
3,8.2,3,24,458,0
5,8.4,2,21,451,0
1,11.1,2,23,919,1
1,11.6,2,22,487,0
0,6.4,3,25,397,0
1,7.3,2,18,430,0
4,10.0,3,18,470,1
1,8.2,3,28,482,0
3,7.5,2,23,663,0
3,7.8,3,27,338,0
3,7.9,2,29,826,0
3,11.1,2,19,796,1
4,6.8,2,22,815,0
2,10.3,1,18,648,0
5,9.3,3,24,696,1
0,7.8,2,18,460,0
3,8.5,2,21,315,0
1,7.5,3,26,792,0
3,9.7,1,18,725,0
1,6.5,2,21,407,0
5,6.0,2,23,749,0
5,9.8,3,23,610,1
5,7.2,2,29,469,0
1,6.4,3,25,845,0
3,8.4,3,18,713,0
5,6.3,1,24,550,0
4,11.3,1,18,440,0
1,6.2,2,24,573,0
1,9.5,2,20,715,0
3,8.6,1,28,907,0
1,10.0,2,25,338,0
1,8.0,2,20,328,0
5,6.9,2,18,776,0
3,11.9,2,25,617,1
5,11.0,2,20,544,1
5,11.2,2,19,996,1
3,7.5,2,18,571,0
0,6.2,1,20,739,0
5,7.8,2,19,538,0
4,9.2,2,19,676,0
4,8.0,3,23,565,0
1,11.0,2,29,658,0
4,7.6,3,18,639,0
1,11.8,2,19,688,1
0,8.7,1,23,876,0
3,11.1,3,20,988,1
3,7.2,2,21,302,0
3,8.5,2,18,728,0
4,10.2,1,25,441,0
0,6.8,2,24,675,0
4,6.8,2,24,969,0
4,11.8,2,20,623,1
0,10.3,3,27,445,0
0,6.2,1,27,592,0
0,8.4,2,20,964,0
0,8.6,2,19,731,0
3,10.5,1,29,884,0
2,7.5,2,18,698,0
2,7.1,2,24,643,0
0,6.5,2,24,439,0
2,8.6,1,29,486,0
2,10.1,2,19,360,0
0,6.3,1,24,679,0
2,11.5,3,25,739,1
4,8.7,1,18,618,0
1,7.4,2,26,601,0
1,6.6,3,24,643,0
0,7.1,2,20,310,0
3,11.6,3,25,361,1
0,9.8,1,24,525,0
3,9.1,3,28,452,0
1,9.9,2,25,863,0
0,8.6,3,23,870,0
5,10.4,1,26,883,1
4,6.3,1,22,959,0
2,9.4,1,20,874,0
3,7.0,2,20,609,0
5,6.7,3,18,542,0
2,8.1,3,29,792,0
2,6.6,1,25,665,0
0,6.6,3,19,629,0
2,7.9,2,20,406,0
4,11.9,2,25,525,1
5,7.1,1,25,517,0
2,6.1,3,28,805,0
0,10.6,1,21,558,0
4,10.8,2,21,816,1
1,8.1,3,22,353,0
5,8.8,1,23,346,0
2,9.9,2,22,988,1
0,6.3,1,24,820,0
1,11.7,2,19,398,0
1,11.3,2,24,319,0
3,7.6,2,27,872,0
4,6.1,2,24,789,0
2,11.6,2,18,718,1
0,9.0,2,24,989,0
3,9.2,3,22,361,0
4,10.1,2,20,444,0
3,9.7,2,20,515,0
5,11.7,2,21,302,1
4,11.7,2,29,459,1
4,11.2,2,19,419,1
2,9.8,3,19,388,0
4,10.8,2,18,628,1
3,10.1,1,22,879,0
4,9.4,2,21,656,0
2,6.8,2,28,909,0
2,10.9,3,27,566,0
5,10.9,1,19,916,1
3,9.8,1,20,622,0
1,10.9,2,24,934,1
1,9.9,2,24,840,0
4,7.2,3,29,948,0
5,7.6,1,21,494,0
0,7.3,3,22,631,0
4,8.3,1,22,469,0
5,6.2,3,23,820,0
3,9.7,1,26,762,0
3,8.0,1,19,339,0
3,9.9,2,22,836,1
3,8.3,3,29,560,0
3,10.1,3,20,694,1
5,8.0,2,21,525,0
5,7.6,3,27,423,0
2,9.0,1,23,337,0
1,10.2,3,29,627,0
3,8.1,2,25,550,0
0,11.6,3,18,475,1
5,6.2,3,27,901,0
0,8.5,3,25,753,0
0,11.8,2,28,336,0
0,9.3,2,24,615,0
2,8.5,3,18,987,1
5,9.4,1,19,892,1
0,9.5,3,20,413,0
3,10.4,3,18,339,1
4,6.8,1,26,600,0
0,7.5,3,25,523,0
2,9.5,2,19,617,0
5,11.2,3,26,648,1
2,9.4,3,24,414,0
0,7.4,1,26,997,0
5,10.1,2,23,622,1
4,10.4,3,23,867,1
0,7.4,2,28,339,0
2,8.3,2,21,339,0
1,9.2,2,27,588,0
3,9.0,2,27,561,0
2,8.3,2,19,515,0
5,7.8,2,24,446,0
0,6.6,1,22,635,0
3,6.3,2,28,467,0
0,11.8,1,23,391,0
5,11.1,1,19,652,1
0,8.1,1,22,870,0
1,11.7,1,27,870,0
3,10.1,2,21,980,1
3,8.9,2,26,662,0
5,9.0,3,23,856,1
1,6.5,1,19,644,0
2,6.6,3,18,992,0
0,9.6,3,22,469,0
4,9.3,2,26,655,0
0,7.3,3,23,490,0
0,11.7,3,27,966,1
2,10.7,1,29,721,0
0,6.7,2,24,999,0
1,11.6,3,22,306,0
1,11.8,3,27,432,0
3,12.0,1,23,856,1
5,6.3,3,22,330,0
4,10.4,3,28,834,1
0,9.3,3,26,725,0
0,10.2,3,23,693,0
2,11.8,3,28,971,1
5,10.1,1,25,662,0
1,11.0,1,19,736,0
4,11.2,2,29,969,1
3,11.0,3,26,850,1
1,8.6,2,22,381,0
5,7.3,2,24,655,0
3,8.4,2,27,557,0
2,11.4,2,18,888,1
2,6.9,3,27,823,0
0,9.1,3,22,594,0
5,7.4,2,29,523,0
4,9.5,2,27,824,0
3,11.2,2,19,345,0
1,11.3,2,29,966,1
5,7.4,2,23,412,0
5,11.4,2,28,532,1
2,9.6,2,18,316,0
0,8.1,1,20,659,0
0,10.2,1,22,522,0
3,8.9,2,21,999,1
2,8.3,2,20,747,0
5,10.2,2,27,664,1
4,7.5,3,22,974,1
2,8.0,2,28,625,0
3,8.6,1,25,766,0
3,7.5,3,28,713,0
2,8.4,2,21,754,0
3,9.4,3,18,885,1
2,10.4,2,28,532,0
1,10.6,3,24,523,0
2,10.9,3,25,711,1
2,10.5,3,20,871,1
3,10.1,3,23,634,1
3,7.4,1,19,521,0
0,8.4,1,24,336,0
0,8.9,3,25,577,0
1,6.5,2,23,495,0
0,9.2,3,23,783,0
2,8.6,1,22,541,0
3,10.8,2,25,623,0
0,11.9,2,18,491,0
0,9.3,2,27,316,0
1,7.9,2,21,823,0
5,6.3,2,21,700,0
1,11.5,2,20,321,0
2,11.5,2,20,773,1
3,7.5,2,21,419,0
1,10.2,3,28,509,0
0,6.5,1,18,605,0
3,7.0,2,28,569,0
3,7.3,2,28,986,0
0,7.8,3,19,584,0
1,12.0,2,26,975,1
0,10.2,3,27,526,0
5,8.3,3,19,680,1
3,10.4,2,22,759,1
4,11.5,1,26,306,0
4,11.8,2,26,328,0
2,6.3,1,25,332,0
0,8.4,2,18,945,0
0,6.6,3,18,378,0
2,8.0,1,26,758,0
2,7.0,1,28,869,0
2,9.9,1,25,837,0
3,8.3,3,27,781,0
5,7.4,2,26,729,0
0,7.6,1,24,584,0
3,8.2,3,20,815,1
2,7.6,3,20,398,0
0,8.7,1,19,696,0
3,6.2,2,22,788,0
5,7.7,3,29,338,0
3,8.5,2,29,570,0
5,9.6,1,20,456,0
2,7.6,1,23,374,0
